Group,Species number,Genus_species,Allonursing,"Communal nesting, babysitting, retrieval",Protection,provisioning_Male,provisioning_others,carryng_Male ,carrying_others,PC1,PC2,Provisioning mothers,Gregariousness,Diet,Activity,Substrate,Body mass [g],Brain size [g or cc],Fertility [offspring per year],Gestation length [d],Weaning age [d],Age at first reproduction [y],Maximum lifespan [y],Remarks
Primates,241,Alouatta_seniculus,0,0,0.5,0,0,0,0.084,-0.037,-0.584,,2,2,2,4,5210,54.3,0.72,191,380,5.17,25,"carrying by other adult females (no neonates, one month at least)"
Primates,312,Tarsius_spectrum,0,0.5,0.5,0,0.05,0,0.05,0.151,-0.123,,2,5,1,4,126,3.4,2.38,191,78,1.42,16,"allocare after 3 weeks; all adult females in a group give birth (Gursky 2007); 2-8 group members, sleep together, social interactions"
Primates,239,Alouatta_guariba,0,0,0.5,0,0,0,0.05,-0.133,-0.447,,2,2,2,4,4550,49.1,0.57,,,,,
Primates,295,Pygathrix_nemaeus,0,0,0.5,0,0,0,0.05,-0.133,-0.447,,2,4,2,4,8440,81.1,0.74,210,330,4,26,infant sharing with adult females: only neonates in captivity
Primates,278,Macaca_fascicularis,0,0,0.5,0,0,0,0.041,-0.158,-0.411,,2,3,2,4,3518,62.1,0.53,163,231,5.23,38.5,4.1 infant transfers
Primates,306,Pan_troglodytes,0,0.5,0.5,0.05,0.05,0,0.038,0.166,-0.067,,2,3,2,3,40367,350.5,0.17,235,1460,13.25,59.4,carrying by mostly subadult females
Primates,280,Macaca_mulatta,0.1,0.5,0.5,0,0,0.01,0.022,0.019,1.063,,2,3,2,3,5670,84.3,0.67,167,192,5,34,"carrying (no neonates, one month at least), relatives preferred, 0 infant transfers"
Primates,287,Papio_hamadryas,0,0.5,0.5,0,0.013,0.1,0.013,0.206,-0.292,,2,3,2,3,10300,133,0.5,170,365,6.1,37.5,
Primates,288,Papio_ursinus,0,0.5,0.5,0,0.013,0.1,0.013,0.206,-0.292,,2,3,2,3,14800,165,0.41,187,502,3.67,32.6,carrying infants of high ranking mothers
Primates,286,Papio_cynocephalus,0.05,0.5,0.5,0,0,0.1,0.013,0.183,0.267,,2,3,2,3,12000,156.1,0.56,175,456,5.99,34.1,
Primates,283,Macaca_sylvanus,0,1,0.5,0,0,0.13,0.01,0.472,-0.081,,2,2,2,3,9625,97.9,0.55,165,213,4.75,29.1,0 infant transfers
Primates,311,Tarsius_bancanus,0,0,0,0,0,0,0,-0.539,-0.405,,0,5,1,4,126,3.2,1.54,178,76,1.57,16.3,"mothers guard offspring against males; solitary, sleep alone"
Primates,313,Cheirogaleus_medius,0,0.5,1,0,0,0,0,0.220,0.208,,1.5,3,1,4,139,2.6,2.5,62,45,2,23.2,"if the father is absent, the infant will die (Fietz and Dausmann 2003); offspring from previous one or two breeding seasons"
Primates,326,Galagoides_zanzibaricus,0,0.5,0,0,0,0,0,-0.310,-0.110,,2,3,1,4,143,3.5,2.4,124,59.3,0.73,12.2,"galagines sleep together; sleep in group, closely related females with offspring"
Primates,327,Loris_tardigradus,0,0.5,1,0,0.05,0,0,0.275,0.237,,1.5,3,1,4,193,5.9,2.6,171,135,1.39,19.3,"passive food sharing, huddle, but carried only by mother; sometimes sleep in groups, sometimes interact"
Primates,328,Loris_lydekkerianus,0,0.5,1,0,0,0.1,0,0.420,-0.088,,1.5,3,1,4,267,6.3,,167.5,135,1.37,18.7,"males groom and play, captive males also carry sometimes"
Primates,331,Nycticebus_pygmaeus,0,0,1,0,0,0,0,-0.009,-0.087,,0.5,3,1,4,307,7.2,0.68,185,133,,17.1,"only mother carries, male close by"
