species_complete,vocal_learning,log_adult_weight,log_weaning_days,female_maturity_log,male_maturity_log,max_longevity,average_maturity_log,avg_maturity_per_longevity
myotis mystacinus,no_info,1.667706820558076,,5.8998973535824915,6.1224928095143865,3.1780538303479458,6.011195081548439,1.8914705044156883
myotis nattereri,no_info,2.0149030205422647,4.0943445622221,,,3.1654750481410856,,
myotis nigricans,no_info,1.4350845252893227,3.6375861597263857,4.584967478670572,4.584967478670572,1.9459101490553132,4.584967478670572,2.3562071871080223
myotis sodalis,no_info,2.0412203288596382,,5.877735781779639,,2.995732273553991,5.877735781779639,1.962036405478444
myotis thysanodes,no_info,1.791759469228055,3.044522437723423,,,2.9069010598473755,,
myotis velifer,no_info,2.312535423847214,3.7612001156935624,5.8998973535824915,5.8998973535824915,2.424802725718295,5.8998973535824915,2.43314529920564
myotis vivesi,no_info,3.2188758248682006,,,,2.302585092994046,,
myotis volans,no_info,1.9459101490553132,,5.0238805208462765,,3.044522437723423,5.0238805208462765,1.6501374595231892
myotis yumanensis,no_info,1.8325814637483102,,5.8998973535824915,5.8998973535824915,2.6390573296152584,5.8998973535824915,2.2356078768636007
nyctalus leisleri,no_info,2.772588722239781,,,,2.772588722239781,,
nyctalus noctula,no_info,3.3232358401924436,,4.499809670330265,6.12029741895095,2.4849066497880004,5.310053544640608,2.136922747216132
nycticeius humeralis,no_info,2.277267285009756,3.4011973816621555,5.8998973535824915,6.1224928095143865,1.791759469228055,6.011195081548439,3.3549118532847753
nyctophilus geoffroyi,no_info,2.0794415416798357,,,,1.9878743481543455,,
nyctophilus gouldi,no_info,2.4265710727750367,,5.7899601708972535,,1.3862943611198906,5.7899601708972535,4.1765734127490415
nyctophilus timoriensis,no_info,2.3997118037247684,,,,,,
pipistrellus kuhlii,no_info,1.791759469228055,4.0943445622221,,,2.0794415416798357,,
pipistrellus nathusii,no_info,2.302585092994046,,4.51085950651685,4.51085950651685,2.3978952727983707,4.51085950651685,1.8811745273815175
pipistrellus pipistrellus,no_info,1.6094379124341003,3.7376696182833684,6.1224928095143865,6.1224928095143865,2.8094026953624978,6.1224928095143865,2.1792863015404773
plecotus auritus,no_info,2.0541237336955462,3.7376696182833684,5.8998973535824915,5.8998973535824915,3.4011973816621555,5.8998973535824915,1.734653032897264
